JURISDICTI3,DischargeJ_cf,DischargeJ_af
LAGUNA BEACH,4676435.724858389,107.3561920307252
ORANGE CO,84595183.27803728,1942.0381836096713
LAGUNA WOODS,4108980.9042308857,94.32922186021318
LAKE FOREST,8411899.932957785,193.11065043521086
ALISO VIEJO,10307111.76310943,236.61872734411003
LAGUNA NIGUEL,116319721.14789043,2670.3333596852717
LAGUNA HILLS,16836438.04842581,386.5114336185906
MISSION VIEJO,61794778.50983876,1418.6129134490075
DANA POINT,9097269.857719555,208.84457891918174
RANCHO SANTA MARGARITA,39974425.687731795,917.6865401224011
SAN JUAN CAPISTRANO,23283935.457183696,534.5256073733631
SAN CLEMENTE,51058219.66658256,1172.135437708507
